Gene symbol,Gene name,Significant temporal comparisons:,logFC: 0 vs 2h,logFC: 0 vs 4h,logFC: 0 vs 6h,logFC: 0 vs 8h,logFC: 2 vs 4h,logFC: 2 vs 6h,logFC: 2 vs 8h,logFC: 4 vs 6h,logFC: 4 vs 8h,logFC: 6 vs 8h
LOC724274,protein lethal(2)essential for life,0 vs 2; 0 vs 4; 2 vs 4; 2 vs 6; 2 vs 8,2.03,0.75,0.25,0.28,-1.27,-1.78,-1.75,-0.5,-0.47,0.66
LOC102654085,uncharacterized LOC102654085,0 vs 2; 0 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,1.34,1.36,-0.13,0.29,0.02,-1.48,-1.05,-1.49,-1.07,1.09
LOC724570,mpv17-like protein 2,0 vs 2; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 8,0.89,0.05,0.5,0.41,-0.84,-0.4,-0.48,0.44,0.36,0.19
LOC102656464,uncharacterized LOC102656464,0 vs 2; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,0.63,0.5,1.05,1.15,-0.13,0.42,0.52,0.55,0.65,-0.53
LOC724449,protein lethal(2)essential for life,0 vs 2; 0 vs 6; 2 vs 6; 2 vs 8; 4 vs 8,0.88,0.27,-0.63,-0.54,-0.61,-1.51,-1.42,-0.9,-0.81,0.66
LOC102653815,cytochrome b reductase 1,0 vs 2; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,-0.37,-0.14,0.07,0.26,0.23,0.45,0.63,0.22,0.41,-0.2
LOC408923,transcription initiation factor TFIID subunit 4,0 vs 2; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,0.86,0.08,0.07,0.09,-0.77,-0.78,-0.76,-0.01,0.01,0.45
LOC413103,cysteine and histidine-rich protein 1 homolog,0 vs 2; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,0.56,-0.03,-0.24,0.01,-0.59,-0.79,-0.55,-0.2,0.04,0.8
LOC411700,heat shock protein 83,0 vs 2; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,1.26,0.13,0.36,0.52,-1.13,-0.89,-0.74,0.23,0.39,0.8
LOC408886,transmembrane 7 superfamily member 3,0 vs 2; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,0.47,0,0.11,0.11,-0.47,-0.36,-0.36,0.11,0.11,0.32
LOC412067,cysteine and histidine-rich domain-containing protein,0 vs 2; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,0.52,-0.01,-0.17,-0,-0.53,-0.69,-0.52,-0.16,0.01,0.56
LOC409402,uncharacterized LOC409402,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,0.46,0.85,1.1,0.98,0.4,0.64,0.53,0.24,0.13,-0.45
LOC113218518,chymotrypsin inhibitor-like,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,1,2.46,2.76,3.26,1.46,1.76,2.26,0.3,0.8,-1.36
LOC413532,phospholipase A1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,0.24,1.17,1.05,1.45,0.93,0.81,1.21,-0.12,0.27,-0.5
LOC410043,ornithine decarboxylase,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,-0.12,-0.56,-0.64,-0.48,-0.44,-0.52,-0.36,-0.07,0.08,0.39
LOC102654379,"essential MCU regulator, mitochondrial",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,0.1,0.57,0.65,0.68,0.47,0.55,0.59,0.08,0.11,-0.16
LOC102656472,uncharacterized LOC102656472,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,1.27,3.64,4.07,3.75,2.37,2.8,2.48,0.43,0.11,-2.48
LOC726417,uncharacterized LOC726417,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,0.02,0.41,0.54,0.57,0.4,0.52,0.55,0.12,0.16,-0.31
LOC413000,proton-coupled amino acid transporter-like protein pathetic,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,-0.26,-0.63,-0.99,-1.07,-0.37,-0.73,-0.81,-0.36,-0.44,0.35
LOC410566,putative inorganic phosphate cotransporter,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,-0.04,-0.52,-0.54,-0.46,-0.48,-0.5,-0.42,-0.02,0.06,0.31
LOC408834,beclin-1-like protein,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,0.11,0.37,0.45,0.58,0.26,0.34,0.47,0.07,0.2,-0.04
LOC552756,cathepsin L1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,0.08,0.32,0.43,0.44,0.24,0.35,0.35,0.11,0.12,-0.18
LOC100577043,uncharacterized LOC100577043,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,-0.06,1.02,1.01,0.85,1.08,1.07,0.91,-0.01,-0.17,-0.69
LOC413739,synaptic vesicle glycoprotein 2C,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,-0,-0.65,-0.71,-0.92,-0.64,-0.71,-0.91,-0.07,-0.27,0.38
LOC409457,eIF-2-alpha kinase activator GCN1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,-0.15,-0.31,-0.51,-0.59,-0.16,-0.36,-0.45,-0.2,-0.28,0.23
LOC408580,eukaryotic translation initiation factor 2D,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,-0.06,-0.38,-0.44,-0.5,-0.33,-0.38,-0.44,-0.06,-0.11,0.31
LOC100578875,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,0.21,0.46,0.7,0.82,0.26,0.49,0.61,0.23,0.35,-0.33
LOC410172,translocating chain-associated membrane protein 1-like 1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,0.23,0.41,0.67,0.79,0.18,0.45,0.57,0.27,0.39,-0.36
LOC410079,zinc finger protein 385B,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8,0.03,0.24,0.3,0.33,0.21,0.27,0.3,0.06,0.09,-0.21
LOC725099,spermidine synthase,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 6 vs 8,-0.09,-0.57,-0.51,-0.33,-0.48,-0.42,-0.24,0.07,0.24,0.49
LOC411299,Golgi resident protein GCP60,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 6 vs 8,0.06,0.3,0.38,0.24,0.24,0.32,0.17,0.08,-0.06,-0.32
LOC413109,uncharacterized LOC413109,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 6 vs 8,0.74,1.42,2.11,1.81,0.69,1.38,1.08,0.69,0.39,-1.45
LOC100578233,dynein regulatory complex protein 1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 6 vs 8,-0.23,-0.66,-0.95,-0.56,-0.43,-0.72,-0.33,-0.29,0.1,0.85
LOC727235,protein enabled,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 6 vs 8,0.14,0.29,0.47,0.34,0.15,0.33,0.2,0.18,0.05,-0.39
LOC552260,U6 snRNA-associated Sm-like protein LSm1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 6 vs 8,-0.1,-0.31,-0.47,-0.36,-0.21,-0.37,-0.26,-0.16,-0.05,0.44
LOC100576895,putative fatty acyl-CoA reductase CG5065,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,0.76,1.25,1.59,2.28,0.49,0.84,1.52,0.34,1.03,-0.82
LOC412712,anaphase-promoting complex subunit 7,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-0.24,-0.26,-0.44,-0.59,-0.02,-0.2,-0.34,-0.18,-0.32,0.19
LOC552231,probable RNA-binding protein 19,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 4 vs 8,-0.2,-0.28,-0.38,-0.62,-0.09,-0.18,-0.43,-0.1,-0.34,0.21
LOC412569,"probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.66,1.02,1.23,1.32,0.36,0.57,0.66,0.21,0.3,-0.87
LOC100578343,uncharacterized LOC100578343,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.32,0.61,0.65,0.78,0.29,0.34,0.46,0.04,0.17,-0.44
LOC113219104,uncharacterized LOC113219104,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.99,1.73,1.5,2.27,0.74,0.51,1.27,-0.23,0.53,-1.23
LOC410533,ceramide-1-phosphate transfer protein,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.37,0.52,0.71,0.71,0.14,0.34,0.34,0.19,0.19,-0.46
LOC100578397,uncharacterized LOC100578397,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,1.42,2.51,2.97,2.9,1.09,1.55,1.48,0.46,0.39,-2.22
LOC410562,serine/threonine-protein kinase meng-po,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.81,1.27,1.62,1.66,0.46,0.82,0.85,0.35,0.39,-0.99
LOC724644,uncharacterized LOC724644,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.39,1.34,1.32,1.28,0.95,0.93,0.89,-0.02,-0.06,-1.41
LOC409187,MD-2-related lipid-recognition protein,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.41,0.75,0.95,1.21,0.34,0.55,0.8,0.21,0.46,-0.76
LOC102655088,uncharacterized LOC102655088,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.99,1.46,1.8,2.27,0.46,0.81,1.28,0.34,0.81,-1
LOC100577428,uncharacterized LOC100577428,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.21,1.04,0.79,0.9,0.82,0.58,0.69,-0.24,-0.14,-0.79
LOC410626,sodium-coupled monocarboxylate transporter 1,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.54,1.17,1.39,1.43,0.63,0.86,0.89,0.22,0.25,-1.42
LOC410550,"aminomethyltransferase, mitochondrial",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.39,0.73,0.9,0.93,0.35,0.52,0.54,0.17,0.19,-0.63
LOC102656498,uncharacterized LOC102656498,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.47,0.87,1.16,1.22,0.4,0.69,0.75,0.29,0.35,-0.7
LOC551242,eukaryotic translation initiation factor 3 subunit E,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,-0.21,-0.38,-0.46,-0.55,-0.16,-0.24,-0.34,-0.08,-0.18,0.33
LOC409154,sorting nexin-30,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.14,0.33,0.4,0.51,0.19,0.26,0.37,0.07,0.18,-0.27
LOC726782,PEST proteolytic signal-containing nuclear protein,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,-0.25,-0.35,-0.52,-0.54,-0.1,-0.27,-0.29,-0.17,-0.19,0.39
LOC102655564,uncharacterized LOC102655564,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.53,0.84,1.14,1.46,0.31,0.61,0.93,0.3,0.62,-0.82
LOC725838,uncharacterized LOC725838,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,-0.97,-1.26,-2.15,-2.29,-0.3,-1.18,-1.33,-0.89,-1.03,1.52
LOC412131,kinesin 4B,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,-0.32,-0.6,-0.75,-1.03,-0.27,-0.43,-0.7,-0.16,-0.43,0.67
LOC102654405,uncharacterized LOC102654405,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.61,1.04,1.4,1.52,0.44,0.79,0.92,0.35,0.48,-1.19
LOC724216,juvenile hormone acid O-methyltransferase,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.35,0.86,1.03,1.28,0.51,0.68,0.93,0.17,0.42,-0.77
LOC102653614,probable RNA methyltransferase CG11342,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.22,0.53,0.72,0.7,0.32,0.5,0.48,0.18,0.17,-0.49
LOC410427,serine/threonine-protein kinase 26,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.45,0.95,1.34,1.29,0.49,0.88,0.84,0.39,0.34,-0.98
LOC413655,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,-0.05,-0.24,-0.27,-0.25,-0.19,-0.21,-0.2,-0.03,-0.01,0.3
LOC100576476,uncharacterized LOC100576476,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,-0.19,-0.59,-0.75,-0.91,-0.39,-0.56,-0.71,-0.17,-0.32,0.75
LOC551990,replication factor C subunit 3,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,-0.32,-0.38,-0.54,-0.67,-0.07,-0.23,-0.35,-0.16,-0.29,0.48
LOC724119,ESF1 homolog,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,-0.35,-0.55,-0.74,-0.87,-0.2,-0.39,-0.52,-0.2,-0.33,0.6
LOC412914,uncharacterized LOC412914,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.2,0.64,0.66,1.07,0.44,0.46,0.88,0.02,0.44,-0.73
LOC410200,mRNA turnover protein 4 homolog,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,-0.27,-0.44,-0.65,-0.65,-0.16,-0.38,-0.37,-0.22,-0.21,0.62
LOC727239,protein P54-like,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,-0.44,-0.6,-0.84,-1.17,-0.16,-0.4,-0.73,-0.24,-0.57,0.58
LOC552675,myoneurin,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,-0.14,-0.28,-0.4,-0.52,-0.14,-0.26,-0.39,-0.12,-0.24,0.29
LOC410171,filamin-A,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.26,0.4,0.65,0.71,0.14,0.39,0.45,0.25,0.31,-0.46
LOC727146,sphingomyelin phosphodiesterase,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 8; 6 vs 8,0.26,0.58,0.76,0.86,0.32,0.5,0.61,0.18,0.29,-0.64
LOC100578547,uncharacterized LOC100578547,0 vs 4; 0 vs 8; 2 vs 4; 2 vs 8; 6 vs 8,0.09,-0.6,-0.3,-0.55,-0.69,-0.39,-0.63,0.3,0.05,0.51
LOC552708,major facilitator superfamily domain-containing protein 10,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,0.02,0.12,0.47,0.83,0.1,0.45,0.81,0.35,0.71,-0.27
LOC410451,venom serine carboxypeptidase,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,0.2,0.34,0.65,0.96,0.14,0.45,0.76,0.31,0.62,-0.29
LOC413567,L-xylulose reductase,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,0.18,0.39,0.73,0.97,0.21,0.55,0.79,0.34,0.58,-0.48
LOC413264,yellow-b,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,0.25,0.46,0.9,1.17,0.21,0.66,0.92,0.45,0.71,-0.4
LOC726250,cilia- and flagella-associated protein 43-like,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,0.42,0.91,1.58,2.16,0.49,1.16,1.73,0.67,1.25,-1.01
LOC411140,putative aldehyde dehydrogenase family 7 member A1 homolog,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,0.15,0.27,0.98,1.5,0.12,0.83,1.35,0.7,1.22,-0.51
LOC725530,uncharacterized LOC725530,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,0.04,0.34,0.5,0.74,0.3,0.46,0.7,0.16,0.4,-0.36
LOC409946,V-type proton ATPase subunit d,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,0.03,0.07,0.26,0.4,0.04,0.22,0.37,0.18,0.32,-0.18
LOC412430,major facilitator superfamily domain-containing protein 6,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,0.02,0.11,0.28,0.39,0.09,0.26,0.36,0.17,0.27,-0.08
LOC724583,uncharacterized LOC724583,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,0.06,0.29,0.66,1.04,0.24,0.6,0.98,0.37,0.74,-0.49
LOC408750,pre-mRNA-processing factor 19,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,-0.02,-0.1,-0.35,-0.43,-0.08,-0.33,-0.41,-0.25,-0.32,0.28
LOC413810,"folylpolyglutamate synthase, mitochondrial",0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8,-0.11,0.08,0.33,0.54,0.19,0.45,0.65,0.25,0.46,-0.31
LOC552024,myo-inositol 2-dehydrogenase,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.81,1.17,2.14,2.1,0.36,1.33,1.29,0.97,0.93,-1.79
LOC412010,general transcription factor IIH subunit 4,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.13,-0.22,-0.49,-0.42,-0.09,-0.37,-0.29,-0.27,-0.2,0.41
LOC100577932,uncharacterized LOC100577932,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.1,-0.27,-1,-0.87,-0.17,-0.9,-0.77,-0.73,-0.6,0.78
LOC100577669,uncharacterized LOC100577669,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.38,0.98,1.86,1.85,0.6,1.48,1.47,0.88,0.87,-1.96
LOC726044,unconventional myosin-XVIIIa,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.44,0.77,1.37,1.43,0.33,0.93,0.99,0.6,0.66,-0.83
LOC409448,collagen alpha-1(IX) chain,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0,-0.61,-1.05,-0.89,-0.6,-1.04,-0.89,-0.44,-0.28,1.24
LOC724874,facilitated trehalose transporter Tret1,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.23,0.63,1.11,1.14,0.41,0.88,0.91,0.47,0.5,-0.84
LOC411711,integrator complex subunit 6,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.02,-0.26,-0.59,-0.52,-0.28,-0.61,-0.55,-0.33,-0.26,0.57
LOC410894,chymotrypsin-1,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.05,-0.59,-1.17,-1.34,-0.65,-1.22,-1.39,-0.58,-0.75,1.04
LOC724926,DNA polymerase alpha subunit B,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.07,-0.21,-0.36,-0.31,-0.14,-0.29,-0.24,-0.14,-0.1,0.39
LOC412835,uncharacterized LOC412835,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.02,-0.26,-0.46,-0.39,-0.24,-0.43,-0.36,-0.2,-0.12,0.36
LOC411065,monocarboxylate transporter 14,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.27,-0.41,-0.78,-0.94,-0.69,-1.05,-1.21,-0.36,-0.53,0.85
LOC100577472,insulin gene enhancer protein ISL-1,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.15,-0.46,-0.79,-0.89,-0.32,-0.64,-0.74,-0.33,-0.43,0.59
LOC552263,ubiquitin thioesterase OTU1,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.06,-0.17,-0.33,-0.34,-0.12,-0.28,-0.29,-0.16,-0.17,0.24
LOC410343,nuclear pore complex protein Nup93,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.1,-0.29,-0.58,-0.5,-0.19,-0.48,-0.4,-0.29,-0.21,0.48
LOC100576425,uncharacterized LOC100576425,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.17,0.65,1.03,1.01,0.48,0.86,0.84,0.38,0.36,-0.87
CPR5,cuticular protein 5,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.05,0.85,1.29,1.59,0.8,1.23,1.53,0.43,0.73,-1.55
Cat,catalase,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.12,-0.28,-0.66,-0.62,-0.16,-0.54,-0.5,-0.37,-0.34,0.5
LOC724251,alpha-sarcoglycan,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.17,0.47,0.69,0.68,0.3,0.53,0.51,0.22,0.21,-0.63
LOC100577307,uncharacterized LOC100577307,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.27,0.96,2.4,2.51,0.69,2.13,2.25,1.44,1.55,-2.29
LOC102656611,glycine-rich cell wall structural protein-like,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,1.26,2.41,4.5,5.37,1.15,3.25,4.11,2.09,2.96,-3.62
LOC409643,failed axon connections,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0,-0.21,-0.45,-0.53,-0.21,-0.45,-0.53,-0.24,-0.32,0.4
LOC408573,eukaryotic translation initiation factor 6,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.05,-0.26,-0.38,-0.37,-0.21,-0.33,-0.32,-0.12,-0.11,0.28
LOC725967,D-3-phosphoglycerate dehydrogenase,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.01,0.39,0.58,0.69,0.38,0.57,0.68,0.19,0.29,-0.8
LOC724724,ATP-dependent 6-phosphofructokinase,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.08,0.14,0.43,0.45,0.06,0.35,0.37,0.29,0.3,-0.53
LOC412448,zinc transporter ZIP1,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.1,0.31,0.61,0.6,0.21,0.5,0.5,0.29,0.29,-0.59
LOC410805,open rectifier potassium channel protein 1,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.02,0.37,0.63,0.69,0.35,0.61,0.67,0.26,0.32,-0.86
LOC113218911,uncharacterized LOC113218911,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.3,1.28,1.82,2.56,0.98,1.52,2.26,0.54,1.28,-1.46
LOC552006,uncharacterized protein DDB_G0287625,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.16,-0.06,-0.28,-0.27,-0.23,-0.44,-0.44,-0.22,-0.21,0.42
LOC102656846,cyclin-A2,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.03,-0.15,-0.41,-0.48,-0.12,-0.37,-0.44,-0.25,-0.32,0.31
LOC550749,"C-1-tetrahydrofolate synthase, cytoplasmic",0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.02,0.21,0.39,0.38,0.23,0.42,0.4,0.18,0.17,-0.33
LOC725903,zinc finger protein 512B,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,1.26,2.56,5.2,6.12,1.3,3.94,4.85,2.64,3.56,-4.44
LOC113219265,trypsin-1-like,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.82,-0.96,-1.85,-1.63,-1.78,-2.67,-2.45,-0.9,-0.68,2.74
LOC409310,CSC1-like protein 2,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.06,0.17,0.36,0.43,0.11,0.3,0.37,0.19,0.26,-0.31
LOC409882,TLD domain-containing protein 2,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.1,0.28,0.47,0.43,0.38,0.57,0.52,0.19,0.14,-0.7
LOC724718,xanthine dehydrogenase,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.08,0.16,0.52,0.4,0.23,0.6,0.48,0.37,0.24,-0.66
LOC409365,lysosomal alpha-glucosidase,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.03,0.2,0.38,0.36,0.17,0.36,0.33,0.18,0.16,-0.34
LOC411564,nose resistant to fluoxetine protein 6,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.05,-0.38,-1.03,-1.12,-0.34,-0.99,-1.08,-0.65,-0.74,0.86
LOC726456,unconventional myosin-Va,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.13,0.8,1.05,1.05,0.67,0.92,0.93,0.25,0.26,-0.97
LOC724368,dnaJ homolog subfamily A member 1,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.18,-0.25,-0.39,-0.31,-0.43,-0.57,-0.49,-0.14,-0.06,0.36
LOC100576401,uncharacterized LOC100576401,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.09,0.21,0.45,0.61,0.31,0.54,0.71,0.23,0.4,-0.43
LOC100578606,uncharacterized LOC100578606,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.09,0.92,1.39,1.47,1.01,1.47,1.55,0.46,0.54,-2.05
LOC408754,TNF receptor-associated factor 4,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.11,-0.04,-0.46,-0.37,-0.16,-0.57,-0.48,-0.42,-0.33,0.66
LOC102653748,growth/differentiation factor 8,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.07,0.14,0.51,0.5,0.21,0.58,0.57,0.37,0.36,-0.5
LOC725217,uncharacterized protein PFB0145c,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.15,0.27,0.66,0.71,0.42,0.81,0.86,0.39,0.44,-0.82
LOC551993,uncharacterized LOC551993,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,-0.07,0.09,0.35,0.27,0.16,0.42,0.33,0.26,0.17,-0.48
LOC724520,uncharacterized LOC724520,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.03,-0.22,-0.63,-0.52,-0.25,-0.66,-0.54,-0.41,-0.3,0.59
LOC412016,transforming growth factor beta regulator 1,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.09,-0.13,-0.26,-0.33,-0.22,-0.35,-0.42,-0.13,-0.2,0.31
Hsc70-4,heat shock protein cognate 4,0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.23,-0.08,-0.54,-0.51,-0.32,-0.77,-0.74,-0.46,-0.43,0.65
